Original_Term,Standardized_Term,Reference,Description
Whole brain Neuron number,Whole brain Neuron number,Metadata1_value1,Metadata2_value1
Whole brain n,Whole brain Neuron number,Metadata1_value2,Metadata2_value2
Br_N,Whole brain Neuron number,Metadata1_value3,Metadata2_value3
NBR,Whole brain Neuron number,Metadata1_value4,Metadata2_value4
Whole_brain n,Whole brain Neuron number,Metadata1_value5,Metadata2_value5
NBRAIN,Whole brain Neuron number,HerculanoHouzel_etal_2020,number of neurons in the brain
"Body Mass, g","Body Mass, g",Metadata1_value7,Metadata2_value7
Body_Mass_g,"Body Mass, g",Metadata1_value8,Metadata2_value8
"Body mass, g","Body Mass, g",Metadata1_value9,Metadata2_value9
"MBODY, g","Body Mass, g",HerculanoHouzel_etal_2020,"Body mass, g"