Species,Body_Mass.g,Cerebellum_C.n,Cerebellum_Mass.g,Cerebellum_N.n,Cerebellum_N.n_SD,Cerebellum_N.p.mg,Cerebellum_N.p.mg_SD,Cerebellum_O.n,Cerebellum_O.n_SD,Cerebellum_O.p.N,Cerebellum_O.p.N_SD,Cerebellum_O.p.mg,Cerebellum_O.p.mg_SD,CerebralCortex_C.n,CerebralCortex_Mass.g,CerebralCortex_Mass.g_SD,CerebralCortex_N.n,CerebralCortex_N.n_SD,CerebralCortex_N.p.mg,CerebralCortex_N.p.mg_SD,CerebralCortex_O.n,CerebralCortex_O.n_SD,CerebralCortex_O.p.N,CerebralCortex_O.p.N_SD,CerebralCortex_O.p.mg,CerebralCortex_O.p.mg_SD,RoB_C.n,RoB_Mass.g,RoB_Mass.g_SD,RoB_N.n,RoB_N.n_SD,RoB_N.p.mg,RoB_N.p.mg_SD,RoB_O.n,RoB_O.n_SD,RoB_O.p.N,RoB_O.p.N_SD,RoB_O.p.mg,RoB_O.p.mg_SD,WholeBrain_C.n,WholeBrain_Mass.g,WholeBrain_Mass.g_SD,WholeBrain_N.n,WholeBrain_N.n_SD,WholeBrain_O.n,WholeBrain_O.n_SD,Cerebellum_I.p.C,CerebralCortexNoHippocampus_I.p.C,CerebralCortex_I.p.C,Hippocampus_I.p.C,OlfactoryBulb_Mass.g,OlfactoryBulb_N.n,OlfactoryBulb_N.p.mg,OlfactoryBulb_O.n,OlfactoryBulb_O.p.N,OlfactoryBulb_O.p.mg,RoB_I.p.C,WholeBrain_I.p.C,Body_Mass.g_SD,Brain_Mass.g,Brain_N.n,Cerebellum_Mass.g_SD,OlfactoryBulb_Mass.g_SD,OlfactoryBulb_N.n_SD,OlfactoryBulb_N.p.mg_SD,OlfactoryBulb_O.n_SD,OlfactoryBulb_O.p.mg_SD,SpinalCord_Length.mm,SpinalCord_Length.mm_SD,SpinalCord_Mass.g,SpinalCord_Mass.g_SD,SpinalCord_N.n,SpinalCord_N.n_SD,SpinalCord_N.p.mg,SpinalCord_N.p.mg_SD,SpinalCord_O.n,SpinalCord_O.n_SD,SpinalCord_O.p.mg,SpinalCord_O.p.mg_SD,SpinalCord_p.C.Body.mass,SpinalCord_p.C.CNS.mass,SpinalCord_p.C.CNS.neurons,Amygdala_Vol.mm3,Amygdala_Vol.mm3_SD,Cerebellum_Vol.mm3,Cerebellum_Vol.mm3_SD,EntorhinalCortex_Vol.mm3,EntorhinalCortex_Vol.mm3_SD,Hippocampus_Vol.mm3,Hippocampus_Vol.mm3_SD,Hypothalamus_Vol.mm3,Hypothalamus_Vol.mm3_SD,Medulla_Vol.mm3,Medulla_Vol.mm3_SD,MesencephalonMedulla_N.n,MesencephalonMedulla_N.n_SD,Neocortex_Vol.mm3,Neocortex_Vol.mm3_SD,OlfactoryBulb_Vol.mm3,OlfactoryBulb_Vol.mm3_SD,OlfactoryCortices_Vol.mm3,OlfactoryCortices_Vol.mm3_SD,Septum_Vol.mm3,Septum_Vol.mm3_SD,Striatum_Vol.mm3,Striatum_Vol.mm3_SD,SubcorticalForebrain_N.n,SubcorticalForebrain_N.n_SD,Tectum_Vol.mm3,Tectum_Vol.mm3_SD,Tegmentum_Vol.mm3,Tegmentum_Vol.mm3_SD,Thalamus_Vol.mm3,Thalamus_Vol.mm3_SD,WholeBrainOlfactoryBulb_Mass.g,WholeBrainOlfactoryBulb_Mass.g_SD,WholeBrainOlfactoryBulb_N.n,WholeBrainOlfactoryBulb_N.n_SD,OlfactoryBulb_O.p.N_SD,Hippocampus_C.n,Hippocampus_Mass.g,Hippocampus_N.n,Hippocampus_N.p.mg,Hippocampus_O.n,Hippocampus_O.p.N,WholeBrain_O.p.N,CerebralCortexGrey_N.n,CerebralCortexGrey_N.p.mg,CerebralCortexGrey_O.p.N,MesencephalonDiencephalonStriatum_Mass.g,MesencephalonDiencephalonStriatum_N.n,MesencephalonDiencephalonStriatum_N.p.mg,MesencephalonDiencephalonStriatum_O.p.N,PonsMedulla_Mass.g,PonsMedulla_N.n,PonsMedulla_N.p.mg,PonsMedulla_O.p.N,DiencephalonStriatum_Mass.g,DiencephalonStriatum_N.n,DiencephalonStriatum_N.p.mg,DiencephalonStriatum_O.p.N,Mesencephalon_Mass.g,Mesencephalon_N.n,Mesencephalon_N.p.mg,Mesencephalon_O.p.N,PonsMedulla_I.p.C
Damaliscus pygargus phillipsi,60000,2845631126,13.402,2401712670,NA,179206,NA,443918456,NA,0.184,NA,33123,NA,7332929658,111.31,NA,570673431,NA,5127,NA,6762256227,NA,11.851,NA,60760,NA,2222500002,30.006,NA,86428126,NA,2880,NA,2136071876,NA,24.718,NA,71188,NA,12402060786,154.718,NA,3058814227,NA,9343246559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dasyprocta prymnolopha,2843,829475000,2.742,673488085,48145960,253208,39447,155986915,32978520,0.234,0.066,57945,7405,526850000,8.913,1.214,110641950,2576768,13250,1633,416208050,950422,3.763,0.096,49939,7422,400040000,5.972,0.514,43204320,NA,6830,NA,356835680,NA,NA,NA,56408,NA,1746790000,17.628,1.9,795112070,NA,951677930,NA,NA,NA,NA,NA,0.737,58124085,88008,72595915,1.239,107301,NA,NA,196,NA,NA,NA,0.162,4952795,14973,19682805,1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrohyrax dorsalis,1150,438500000,1.918,360929350,NA,188180,NA,77570650,NA,0.215,NA,40444,NA,282500000,7.56,NA,98960000,NA,13098,NA,183540000,NA,1.855,NA,24291,NA,197138000,3.328,NA,44671471,NA,13423,NA,152466529,NA,3.413,NA,45813,NA,918146834,12.8,NA,504572834,NA,413574000,NA,0.0054,0.0479,0.0490013982300885,0.0602,NA,NA,NA,NA,NA,NA,0.0557082297679798,0.0296000002178322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrolagus goodfellowi,13608,NA,4.236,1240000000,NA,292025,NA,NA,NA,0.249,NA,NA,NA,NA,19.57,NA,273430000,NA,13972,NA,NA,NA,4.603,NA,NA,NA,NA,7.742,NA,37860000,NA,4890,NA,NA,NA,12.685,NA,NA,NA,NA,31.548,NA,1550000000,NA,NA,NA,0.0066,0.0518999999126722,0.0524999997552521,0.0614,NA,NA,NA,NA,NA,NA,0.0573,0.0334999999652371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29,18150000,14073,NA,4.552,1.322,188300000,16599,2.721,5.066,29630000,5849,12.021,2.676,8230000,3075,15.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
Didelphis aurita,1200,NA,0.778,334260000,NA,429647,NA,NA,NA,0.122,NA,NA,NA,NA,2.136,NA,42500000,NA,19897,NA,NA,NA,2.847,NA,NA,NA,NA,1.378,NA,15730000,NA,11417,NA,NA,NA,5.873,NA,NA,NA,NA,4.292,NA,392500000,NA,NA,NA,0.0143000003333056,0.0728129620631658,0.0708436329158447,0.0616,0.342,31340000,91646,NA,1.273,NA,0.0770000046237429,0.0393351185883295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.386,7230000,18731,NA,3.149,0.648,31490000,21901,2.35,0.86,11510000,13384,5.001,0.518,4220000,8152,8.251,0.36,5270000,14636,4.139,0.5,6240000,12482,5.729,NA
Elephantulus myurus,45.1,112681000,0.168,89312372,2852000,531494,10651,23368628,1279000,0.261,0.005,139028,5956,52094000,0.471,0.021,25865000,4020000,54644,6098,26229000,1104000,1.032,0.119,55693,138,43010000,0.401,0.063,14012533,3258000,34520,2702,28997467,7906000,2.048,0.088,70967,8566,207785000,1.04,0.082,129190603,4424000,78594397,7733000,0.00729999733761681,0.0167999942119581,0.0224,0.0293,0.05,9693534,194678,4919466,0.507,97872,0.0308,0.0137999979553029,NA,NA,NA,NA,0.01,1745000,5708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epomophorus wahlbergi,74,NA,193487.671447305,121136246,NA,626067,NA,NA,NA,NA,NA,NA,NA,NA,634020.713352369,NA,26201540,NA,41326,NA,NA,NA,NA,NA,NA,NA,NA,386417.379184647,NA,14416846,NA,37309,NA,NA,NA,NA,NA,NA,NA,NA,1.224,NA,161754633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epomops franqueti,120,NA,286519.263867151,150660138,NA,525829,NA,NA,NA,NA,NA,NA,NA,NA,1040183.769561,NA,22533501,NA,21663,NA,NA,NA,NA,NA,NA,NA,NA,712157.233403758,NA,12808860,NA,17986,NA,NA,NA,NA,NA,NA,NA,NA,2.044,NA,186002499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Felis catus,4500,1269000000,5.11,942900000,NA,184521,NA,326100000,NA,0.346,NA,NA,NA,1346930000,24.176,NA,249830000,NA,10334,NA,1097100000,NA,4.391,NA,NA,NA,328060000,5.572,NA,22470000,NA,4033,NA,305590000,NA,13.598,NA,NA,NA,2944000000,34.858,NA,1215210000,NA,1728790000,NA,0.0172,0.0558999999025674,0.0547000002784091,0.0305,NA,NA,NA,NA,NA,NA,0.0311000007620499,0.0359000000424592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64000000,0.876,8050000,9187,55950000,6.952,1.423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fukomys anselli,93.45,NA,NA,75440000,8900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9730000,2230000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93940000,11640000,NA,NA,NA,NA,NA,NA,NA,8880000,NA,NA,NA,NA,NA,NA,20.47,NA,NA,NA,NA,640000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,5,200,52,38,4,82,23,35,5,132,32,3900000,1160000,291,40,55,15,71,9,15,3,84,11,4860000,900000,32,6,60,19,61,3,1.25,0.13,102820000,12280000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fukomys damarensis,110.53,NA,NA,129960000,18150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21270000,590000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165750000,17260000,NA,NA,NA,NA,NA,NA,NA,12550000,NA,NA,NA,NA,NA,NA,30.29,NA,NA,NA,NA,1820000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2,201,46,44,6,95,12,39,7,110,9,4940000,1100000,311,60,59,8,88,8,15,1,102,17,9580000,1690000,27,4,56,14,64,7,1.39,0.14,178300000,19080000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fukomys darlingi,115.19,NA,NA,84910000,3950000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12490000,530000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105750000,2540000,NA,NA,NA,NA,NA,NA,NA,7600000,NA,NA,NA,NA,NA,NA,44.83,NA,NA,NA,NA,1250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2,156,27,41,10,76,4,29,1,101,6,3140000,150000,271,19,43,10,77,9,16,3,99,16,5190000,810000,25,1,45,5,51,7,1.23,0.12,113350000,3790000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fukomys mechowii,270.16,NA,NA,122640000,14340000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23320000,940000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160130000,12470000,NA,NA,NA,NA,NA,NA,NA,14110000,NA,NA,NA,NA,NA,NA,52.85,NA,NA,NA,NA,2130000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,10,391,58,71,13,137,11,60,7,242,87,4750000,980000,627,8,76,6,133,9,24,1,198,2,9420000,880000,41,1,82,13,116,13,2.15,0.24,174240000,14600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georychus capensis,155.09,NA,NA,116740000,10310000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25600000,2090000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157210000,10000000,NA,NA,NA,NA,NA,NA,NA,12460000,NA,NA,NA,NA,NA,NA,39.08,NA,NA,NA,NA,1420000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,3,250,14,53,8,114,19,50,6,151,21,5810000,340000,401,46,74,8,97,13,21,2,123,22,9060000,1130000,34,2,62,8,87,16,1.65,0.18,169670000,11420000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Giraffa camelopardalis,470000,14398437501,67.73,8878076563,NA,131080,NA,5520360938,NA,0.622,NA,81505,NA,29244220000,398.808,NA,1730513460,NA,4339,NA,27513706540,NA,15.9,NA,68990,NA,5021562501,70.68,NA,142697625,NA,2019,NA,4878864876,NA,34.19,NA,69028,NA,48664220000,537.218,NA,10751287650,NA,37912932350,NA,0.020699999982637,0.083478860732918,0.0831244775491961,0.0951,2.052,24678000,12026,232384500,9.417,113248,0.0985778504200635,0.0688635467766408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorilla gorilla,NA,29300000000,37.56,26400000000,NA,702875,NA,2900000000,NA,0.11,NA,77210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heliophobius argenteocinereus,180.51,NA,NA,94820000,1970000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25440000,2230000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137640000,4650000,NA,NA,NA,NA,NA,NA,NA,10300000,NA,NA,NA,NA,NA,NA,35.45,NA,NA,NA,NA,2150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,4,215,37,56,4,115,8,42,5,120,22,5460000,840000,457,25,60,8,107,4,18,2,127,11,11920000,1130000,28,3,56,3,90,5,1.65,0.12,147940000,6800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heterocephalus glaber,30.520000000000003,21225000,0.048,18131135,2929627,327280,48331,5482730,1274352,0.356,0.106,115748,32952,14550000,0.184,0.026,5730937.5,687793.5,33374,2063,8398125,1197056,1.365,0.125,45894,11497,15291667,0.16,0.019,4981317,853026,31674,8484,10310350,1843572,2.125,NA,64145,3790,51066667,0.392,0.045,28742731,3335043.5,24191205,1739102,NA,NA,NA,NA,0.021,2656515,108895,3571970,1.516,167991,NA,NA,8.96,NA,NA,0.004,0.001,483049.5,22957,1548861,62442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,48,5,14,4,32,6,17,1,47,6,1910000,280000,100,5,20,3,39,5,4.1,0.4,29,4,2860000,500000,10,3,19,4,23,3,0.44,0.04,33620000,3660000,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,70000,85070000000,154.02,69030000000,6650000000,471660,90393,16040000000,2170000,0.232,0.019,101020,19800,77180000000,1232.93,233.68,16340000000,2170000000,13520,3636,60840000000,7020000000,3.723,0.675,49230,3755,8420000000,117.66,45.42,690000000,120000000,6560,2115,7730000000,1450000000,11.203,2.352,69850,20026,170670000000,1508.91,299.14,86060000000,8120000000,84610000000,9830000000,NA,0.0274503608329351,0.0277194038541896,0.0404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyaena hyaena,40000,3928120000,14.032,3333830000,NA,237588,NA,594290000,NA,0.178,NA,NA,NA,3473040000,67.45,NA,495280000,NA,7343,NA,2977760000,NA,6.012,NA,NA,NA,984830000,17.732,NA,55490000,NA,3129,NA,929340000,NA,16.749,NA,NA,NA,8385990000,99.214,NA,3884600000,NA,4501390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158060000,3.366,18240000,5418,139820000,7.667,1.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrochoerus hydrochaeris,47500,1728750000,6.632,1157810000,5515433,177982,34889,570940000,81105148,0.493,0.068,86574,4902,2154320000,48.175,2.714,306501565,62726120,6336,945,1847818435,512392109,5.983,0.447,38117,8489,887420000,19.927,0.27,108250000,4400000,5434,NA,779170000,381900000,NA,NA,39234,NA,4770490000,74.734,3.756,1572560385,72641426,3197929615,974583717,NA,NA,NA,NA,1.302,28560310,21864,67389690,2.333,51544,NA,NA,3536,NA,NA,1.312,0.031,8515588,6018,21015416,17981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypsignathus monstrosus,310,NA,456468.399731026,221298619,NA,484806,NA,NA,NA,NA,NA,NA,NA,NA,1805770.56598175,NA,24343593,NA,13481,NA,NA,NA,NA,NA,NA,NA,NA,1169868.78139686,NA,28877041,NA,24684,NA,NA,NA,NA,NA,NA,NA,NA,3.459,NA,274519253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
