Species,Body_Mass.g,Cerebellum_C.n,Cerebellum_Mass.g,Cerebellum_N.n,Cerebellum_N.n_SD,Cerebellum_N.p.mg,Cerebellum_N.p.mg_SD,Cerebellum_O.n,Cerebellum_O.n_SD,Cerebellum_O.p.N,Cerebellum_O.p.N_SD,Cerebellum_O.p.mg,Cerebellum_O.p.mg_SD,CerebralCortex_C.n,CerebralCortex_Mass.g,CerebralCortex_Mass.g_SD,CerebralCortex_N.n,CerebralCortex_N.n_SD,CerebralCortex_N.p.mg,CerebralCortex_N.p.mg_SD,CerebralCortex_O.n,CerebralCortex_O.n_SD,CerebralCortex_O.p.N,CerebralCortex_O.p.N_SD,CerebralCortex_O.p.mg,CerebralCortex_O.p.mg_SD,RoB_C.n,RoB_Mass.g,RoB_Mass.g_SD,RoB_N.n,RoB_N.n_SD,RoB_N.p.mg,RoB_N.p.mg_SD,RoB_O.n,RoB_O.n_SD,RoB_O.p.N,RoB_O.p.N_SD,RoB_O.p.mg,RoB_O.p.mg_SD,WholeBrain_C.n,WholeBrain_Mass.g,WholeBrain_Mass.g_SD,WholeBrain_N.n,WholeBrain_N.n_SD,WholeBrain_O.n,WholeBrain_O.n_SD,Cerebellum_I.p.C,CerebralCortexNoHippocampus_I.p.C,CerebralCortex_I.p.C,Hippocampus_I.p.C,OlfactoryBulb_Mass.g,OlfactoryBulb_N.n,OlfactoryBulb_N.p.mg,OlfactoryBulb_O.n,OlfactoryBulb_O.p.N,OlfactoryBulb_O.p.mg,RoB_I.p.C,WholeBrain_I.p.C,Body_Mass.g_SD,Brain_Mass.g,Brain_N.n,Cerebellum_Mass.g_SD,OlfactoryBulb_Mass.g_SD,OlfactoryBulb_N.n_SD,OlfactoryBulb_N.p.mg_SD,OlfactoryBulb_O.n_SD,OlfactoryBulb_O.p.mg_SD,SpinalCord_Length.mm,SpinalCord_Length.mm_SD,SpinalCord_Mass.g,SpinalCord_Mass.g_SD,SpinalCord_N.n,SpinalCord_N.n_SD,SpinalCord_N.p.mg,SpinalCord_N.p.mg_SD,SpinalCord_O.n,SpinalCord_O.n_SD,SpinalCord_O.p.mg,SpinalCord_O.p.mg_SD,SpinalCord_p.C.Body.mass,SpinalCord_p.C.CNS.mass,SpinalCord_p.C.CNS.neurons,Amygdala_Vol.mm3,Amygdala_Vol.mm3_SD,Cerebellum_Vol.mm3,Cerebellum_Vol.mm3_SD,EntorhinalCortex_Vol.mm3,EntorhinalCortex_Vol.mm3_SD,Hippocampus_Vol.mm3,Hippocampus_Vol.mm3_SD,Hypothalamus_Vol.mm3,Hypothalamus_Vol.mm3_SD,Medulla_Vol.mm3,Medulla_Vol.mm3_SD,MesencephalonMedulla_N.n,MesencephalonMedulla_N.n_SD,Neocortex_Vol.mm3,Neocortex_Vol.mm3_SD,OlfactoryBulb_Vol.mm3,OlfactoryBulb_Vol.mm3_SD,OlfactoryCortices_Vol.mm3,OlfactoryCortices_Vol.mm3_SD,Septum_Vol.mm3,Septum_Vol.mm3_SD,Striatum_Vol.mm3,Striatum_Vol.mm3_SD,SubcorticalForebrain_N.n,SubcorticalForebrain_N.n_SD,Tectum_Vol.mm3,Tectum_Vol.mm3_SD,Tegmentum_Vol.mm3,Tegmentum_Vol.mm3_SD,Thalamus_Vol.mm3,Thalamus_Vol.mm3_SD,WholeBrainOlfactoryBulb_Mass.g,WholeBrainOlfactoryBulb_Mass.g_SD,WholeBrainOlfactoryBulb_N.n,WholeBrainOlfactoryBulb_N.n_SD,OlfactoryBulb_O.p.N_SD,Hippocampus_C.n,Hippocampus_Mass.g,Hippocampus_N.n,Hippocampus_N.p.mg,Hippocampus_O.n,Hippocampus_O.p.N,WholeBrain_O.p.N,CerebralCortexGrey_N.n,CerebralCortexGrey_N.p.mg,CerebralCortexGrey_O.p.N,MesencephalonDiencephalonStriatum_Mass.g,MesencephalonDiencephalonStriatum_N.n,MesencephalonDiencephalonStriatum_N.p.mg,MesencephalonDiencephalonStriatum_O.p.N,PonsMedulla_Mass.g,PonsMedulla_N.n,PonsMedulla_N.p.mg,PonsMedulla_O.p.N,DiencephalonStriatum_Mass.g,DiencephalonStriatum_N.n,DiencephalonStriatum_N.p.mg,DiencephalonStriatum_O.p.N,Mesencephalon_Mass.g,Mesencephalon_N.n,Mesencephalon_N.p.mg,Mesencephalon_O.p.N,PonsMedulla_I.p.C
Loxodonta africana,5000000,289215757500,1171.628,250708527536,NA,213983,NA,38507229964,NA,0.154,NA,32866,NA,61292239720,2847.594,NA,5593241033,NA,1964,NA,55698998687,NA,26.844,NA,52721,NA,28146011000,564.674,NA,741704844,NA,1314,NA,27404306156,NA,36.948,NA,48531,NA,473101455749,4618.62,NA,257043473412,NA,216057982337,NA,0.0244601690495357,0.0725523106688601,0.0726892158570219,0.113019171721753,41.886,908371986,21687,2857878014,3.146,68230,0.0692041201088811,0.0437798363145724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca fascicularis,5700,2708000000,5.642,2572600000,NA,455973,NA,135400000,NA,0.053,NA,23999,NA,3559800000,36.226,NA,800955000,NA,22110,NA,2758845000,NA,3.444,NA,76156,NA,325620000,4.294,NA,65449620,NA,15242,NA,260170380,NA,3.975,NA,60589,NA,6593420000,46.162,NA,3439004620,NA,3154415380,NA,NA,NA,0.0404594820448665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.162,3439,NA,NA,NA,NA,NA,NA,NA,NA,7.499,NA,11.38,NA,1518,NA,360.62,NA,48090,NA,0.13,13.97,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca mulatta,3900,5481030000,7.694,4550000000,NA,590800,NA,931030000,NA,0.205,NA,121010,NA,6980000000,69.832,NA,1710000000,NA,24470,NA,5270000000,NA,3.082,NA,75400,NA,1088420000,9.204,0.871,121900000,NA,12410,NA,966520000,NA,7.929,NA,98420,NA,13539060000,87.346,NA,6376160000,NA,7162900000,NA,NA,NA,NA,NA,0.088,8473800,96293,11006200,1.299,125070,NA,NA,2452.4,87.346,6380,NA,NA,NA,NA,NA,NA,247.46,15.23,8.511,1.601,10,2.95,1176,1597,379.72,54.72,45555,7967,0.1,8.88,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca nemestrina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0355748307221349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca radiata,8012,2492120000,5.748,2038554160,NA,354655,NA,453565840,NA,0.222,NA,78908,NA,5464380000,48.274,NA,1655707140,NA,34298,NA,3808672860,NA,2.3,NA,78897,NA,678000000,7.448,NA,61359000,NA,8238,NA,616641000,NA,10.05,NA,82793,NA,8634500000,61.47,NA,3755620300,NA,4878879700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2039.8,61.47,3755.62,NA,NA,NA,NA,NA,NA,264.6,26.38,7.842,2.317,9.06,3.05,1173,155,335.94,110.72,45664,3911,0.1,11.31,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macronycteris commersoni,101.9,NA,107286.493976527,51875702,NA,483525,NA,NA,NA,NA,NA,NA,NA,NA,243098.006541998,NA,7877834,NA,32406,NA,NA,NA,NA,NA,NA,NA,NA,237991.492124235,NA,6965297,NA,29267,NA,NA,NA,NA,NA,NA,NA,NA,0.588,NA,66718833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macropus fuliginosus,25855,NA,7.358,1990000000,NA,270449,NA,NA,NA,0.368,NA,NA,NA,NA,40.194,NA,370170000,NA,9210,NA,NA,NA,6.404,NA,NA,NA,NA,15.172,NA,97740000,NA,6442,NA,NA,NA,11.744,NA,NA,NA,NA,62.724,NA,2460000000,NA,NA,NA,0.0084,0.058,0.0590000001824393,0.0703,NA,NA,NA,NA,NA,NA,0.065,0.0396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.938,44770000,15238,NA,4.076,1.729,271030000,11254,4.12,10.81,76400000,7067,11.723,4.362,21340000,4893,11.821,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marmosops incanus,100,NA,0.158,82400000,NA,521513,NA,NA,NA,0.292,NA,NA,NA,NA,0.408,NA,20410000,NA,50033,NA,NA,NA,1.84,NA,NA,NA,NA,0.344,NA,9240000,NA,26857,NA,NA,NA,2.878,NA,NA,NA,NA,0.91,NA,112050000,NA,NA,NA,0.0074,0.0494,0.0485000086244071,0.0412,0.084,5520000,65674,NA,0.958,NA,0.0651000139567341,0.0296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,2580000,43036,NA,1.43,0.788,NA,NA,NA,0.196,6440000,32846,2.514,0.148,2800000,18926,3.713,0.104,3370000,32394,2.695,0.092,3070000,33356,2.316,NA
Megaloglossus woermanni,17.9,NA,79305.1766641897,49734021,NA,627122,NA,NA,NA,NA,NA,NA,NA,NA,309097.66173032,NA,11897169,NA,38490,NA,NA,NA,NA,NA,NA,NA,NA,159082.78004271,NA,4097177,NA,25755,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,65728366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesocricetus auratus,168.1,68640000,0.145,61210000,12351246,424002,3743,7430000,1713108,0.121,0.004,51332,1054,59010000,0.446,0.048,17140000,3619934,39099,12332,41870000,1350121,2.507,0.608,94271,7136,27200000,0.375,0.057,5870000,1162059,15611,715,21330000,8878857,3.556,NA,55804,15174,154860000,0.965,0.136,84220000,9893371,70640000,11942086,NA,NA,NA,NA,0.055,5747930,105418,5507170,0.972,96197,NA,NA,13.6,NA,NA,0.03,0.011,347203,27498,2277605,21237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metachirus nudicaudatus,407,NA,0.342,134130000,NA,392196,NA,NA,NA,0.24,NA,NA,NA,NA,0.992,NA,20190000,NA,20354,NA,NA,NA,3.199,NA,NA,NA,NA,0.674,NA,11270000,NA,16725,NA,NA,NA,4.878,NA,NA,NA,NA,2.008,NA,165590000,NA,NA,NA,0.0104,0.0306,0.0313000058979652,0.0353,0.206,31380000,152341,NA,0.647,NA,0.0553999962267711,0.0253999992122107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144,4190000,29109,NA,1.899,0.916,NA,NA,NA,0.392,7510000,19161,4.489,0.282,3760000,13338,5.653,0.234,3890000,16618,5.707,0.158,3620000,22926,3.182,NA
Microcebus murinus,60,238820000,0.391,221386140,NA,566205,NA,17433860,NA,0.079,NA,44588,NA,92960000,0.908,NA,22310400,NA,24571,NA,70649600,NA,3.167,NA,77808,NA,61880000,0.5,NA,11014640,NA,22029,NA,50865360,NA,4.618,NA,101731,NA,393660000,1.799,NA,254711180,NA,138948820,NA,NA,NA,NA,NA,0.03,7636912,270894,9723088,1.273,341900,NA,NA,NA,1.799,254.71,NA,0.008,119088,61946,842576,54311,NA,NA,0.235,NA,1.68,NA,7150,NA,21.27,NA,90398,NA,0.39,11.55,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miniopterus schreibersii,11.6,NA,48531.9852158389,44447776,NA,915845,NA,NA,NA,NA,NA,NA,NA,NA,85806.4733364199,NA,6116028,NA,71277,NA,NA,NA,NA,NA,NA,NA,NA,86057.9352746436,NA,5094974,NA,59204,NA,NA,NA,NA,NA,NA,NA,NA,0.219,NA,55658777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mops pumilus,5.4,NA,36306.5668838663,25324375,NA,697515,NA,NA,NA,NA,NA,NA,NA,NA,84110.3528603641,NA,5632618,NA,66967,NA,NA,NA,NA,NA,NA,NA,NA,84717.9242886179,NA,4001397,NA,47232,NA,NA,NA,NA,NA,NA,NA,NA,0.208,NA,34958391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mungos mungo,1500,470000000,1.548,315740000,NA,203966,NA,154260000,NA,0.489,NA,NA,NA,462330000,9.29,NA,115770000,NA,12462,NA,346560000,NA,2.994,NA,NA,NA,174050000,3.454,NA,22510000,NA,6518,NA,151540000,NA,6.731,NA,NA,NA,1106390000,14.292,NA,454020000,NA,652370000,NA,0.0185,NA,NA,0.0337000195121951,NA,NA,NA,NA,NA,NA,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25620000,0.428,2660000,6225,22960000,8.618,1.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mus musculus,40.4,49167499,0.056,42219708,9277647,746691,128541,6947791,1502773,0.165,0.017,123493,25715,25750000,0.173,0.015,13688162,2242257,78672,7683,12061838,3668594,0.87,0.177,68643,15807,26810000,0.172,0.019,11960000,1577022,64301,6623,14850000,3590591,1.242,NA,79839,11249,101732500,0.402,0.028,67873741,10406194,33858759,6657119,NA,NA,NA,NA,0.014,3893300,257475,5456700,1.454,371204,NA,NA,11.6,NA,NA,0.005,0.004,1246396,34036,1154502,75573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mustela putorius furo,800,430860000,0.92,351260000,NA,381810,NA,79600000,NA,0.227,NA,NA,NA,303010000,3.123,NA,38950000,NA,12473,NA,264060000,NA,6.779,NA,NA,NA,143540000,1.386,NA,14210000,NA,10253,NA,129330000,NA,9.101,NA,NA,NA,877410000,5.429,NA,404430000,NA,472980000,NA,0.0205,0.0647999986691716,0.0673000004620337,0.0879,0.25,14040000,56150,43480000,3.097,NA,0.0895000017416445,0.0480000004558869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32500000,0.329,3190000,9702,29310000,9.182,1.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notamacropus parma,4268,NA,1.69,558080000,NA,330225,NA,NA,NA,0.447,NA,NA,NA,NA,9.914,NA,135620000,NA,13680,NA,NA,NA,5.411,NA,NA,NA,NA,4.11,NA,17420000,NA,4238,NA,NA,NA,19.221,NA,NA,NA,NA,15.714,NA,711130000,NA,NA,NA,0.00730000034641032,0.0539000003329859,0.0555000002875108,0.0657,NA,NA,NA,NA,NA,NA,0.0575,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.238,8480000,6849,NA,13.006,1.733,117630000,18707,3.494,2.948,12650000,4290,20.645,1.162,4770000,4107,15.447,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notamacropus rufogriseus,11110,NA,3.572,1020000000,NA,286273,NA,NA,NA,0.289,NA,NA,NA,NA,16.102,NA,256780000,NA,15947,NA,NA,NA,4.545,NA,NA,NA,NA,7.32,NA,42480000,NA,5803,NA,NA,NA,12.462,NA,NA,NA,NA,26.994,NA,1320000000,NA,NA,NA,0.0092,0.06669999990079,0.069200000351135,0.0885,NA,NA,NA,NA,NA,NA,0.0639000004372063,0.0428000001438687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.796,10770000,5999,NA,14.221,1.629,207740000,21631,2.589,5.93,35060000,5912,11.579,1.39,7420000,5336,16.637,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oryctolagus cuniculus,4600,521250000,1.412,396671250,NA,280929,NA,124578750,NA,1.222,NA,88229,NA,326250000,4.448,NA,71448750,NA,16063,NA,254801250,NA,3.566,NA,57284,NA,277500000,3.272,NA,26085000,NA,7972,NA,251415000,NA,NA,NA,76838,NA,1125000000,9.132,NA,494205000,NA,630795000,NA,NA,NA,NA,NA,0.156,18765000,120288,22935000,1.222,147019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osphranter rufus,13154,NA,4.786,1530000000,NA,320282,NA,NA,NA,0.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0157999998988174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.886,19340000,6700,10.765,NA,NA,NA,NA,NA,NA,NA,NA,0.0786
Otolemur garnettii,946.7,809460000,1.196,743500000,52450000,623080,45720,65960000,20290000,0.089,NA,54460,11890,628160000,6.29,0.863,226090000,87570000,37820,20500,402070000,74790000,1.778,NA,63610,3400,168240000,2.131,0.021,20800000,12280000,9730,5920,147440000,64500000,7.088,NA,69040,NA,1602590000,10.15,0.06,936000000,115360000,666590000,63500000,NA,NA,0.0797051679685466,NA,0.2,30237060,149219,34244000,1.133,170505,NA,NA,102.6,10.15,936,0.105,0.016,9645480,47590,7155556,39463,152,13.34,1.528,0.292,5.73,1.17,3847,764,88.47,14.6,59593,10308,0.14,13.08,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panthera leo,180000,7093750000,24.882,4049750000,NA,162758,NA,3044000000,NA,0.752,NA,NA,NA,7806210000,139.902,NA,545240000,NA,3897,NA,7260970000,NA,13.317,NA,NA,NA,2165900000,34.162,NA,72040000,NA,2109,NA,2093860000,NA,29.063,NA,NA,NA,17065870000,198.946,NA,4667030000,NA,12398840000,NA,0.0175,0.103000000032828,0.101900000067254,0.0571,NA,NA,NA,NA,NA,NA,0.0973,0.0662000000263684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190650000,3.648,13540000,3711,177110000,13.083,2.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
