Species,Body_Mass.g,Cerebellum_C.n,Cerebellum_Mass.g,Cerebellum_N.n,Cerebellum_N.n_SD,Cerebellum_N.p.mg,Cerebellum_N.p.mg_SD,Cerebellum_O.n,Cerebellum_O.n_SD,Cerebellum_O.p.N,Cerebellum_O.p.N_SD,Cerebellum_O.p.mg,Cerebellum_O.p.mg_SD,CerebralCortex_C.n,CerebralCortex_Mass.g,CerebralCortex_Mass.g_SD,CerebralCortex_N.n,CerebralCortex_N.n_SD,CerebralCortex_N.p.mg,CerebralCortex_N.p.mg_SD,CerebralCortex_O.n,CerebralCortex_O.n_SD,CerebralCortex_O.p.N,CerebralCortex_O.p.N_SD,CerebralCortex_O.p.mg,CerebralCortex_O.p.mg_SD,RoB_C.n,RoB_Mass.g,RoB_Mass.g_SD,RoB_N.n,RoB_N.n_SD,RoB_N.p.mg,RoB_N.p.mg_SD,RoB_O.n,RoB_O.n_SD,RoB_O.p.N,RoB_O.p.N_SD,RoB_O.p.mg,RoB_O.p.mg_SD,WholeBrain_C.n,WholeBrain_Mass.g,WholeBrain_Mass.g_SD,WholeBrain_N.n,WholeBrain_N.n_SD,WholeBrain_O.n,WholeBrain_O.n_SD,Cerebellum_I.p.C,CerebralCortexNoHippocampus_I.p.C,CerebralCortex_I.p.C,Hippocampus_I.p.C,OlfactoryBulb_Mass.g,OlfactoryBulb_N.n,OlfactoryBulb_N.p.mg,OlfactoryBulb_O.n,OlfactoryBulb_O.p.N,OlfactoryBulb_O.p.mg,RoB_I.p.C,WholeBrain_I.p.C,Body_Mass.g_SD,Brain_Mass.g,Brain_N.n,Cerebellum_Mass.g_SD,OlfactoryBulb_Mass.g_SD,OlfactoryBulb_N.n_SD,OlfactoryBulb_N.p.mg_SD,OlfactoryBulb_O.n_SD,OlfactoryBulb_O.p.mg_SD,SpinalCord_Length.mm,SpinalCord_Length.mm_SD,SpinalCord_Mass.g,SpinalCord_Mass.g_SD,SpinalCord_N.n,SpinalCord_N.n_SD,SpinalCord_N.p.mg,SpinalCord_N.p.mg_SD,SpinalCord_O.n,SpinalCord_O.n_SD,SpinalCord_O.p.mg,SpinalCord_O.p.mg_SD,SpinalCord_p.C.Body.mass,SpinalCord_p.C.CNS.mass,SpinalCord_p.C.CNS.neurons,Amygdala_Vol.mm3,Amygdala_Vol.mm3_SD,Cerebellum_Vol.mm3,Cerebellum_Vol.mm3_SD,EntorhinalCortex_Vol.mm3,EntorhinalCortex_Vol.mm3_SD,Hippocampus_Vol.mm3,Hippocampus_Vol.mm3_SD,Hypothalamus_Vol.mm3,Hypothalamus_Vol.mm3_SD,Medulla_Vol.mm3,Medulla_Vol.mm3_SD,MesencephalonMedulla_N.n,MesencephalonMedulla_N.n_SD,Neocortex_Vol.mm3,Neocortex_Vol.mm3_SD,OlfactoryBulb_Vol.mm3,OlfactoryBulb_Vol.mm3_SD,OlfactoryCortices_Vol.mm3,OlfactoryCortices_Vol.mm3_SD,Septum_Vol.mm3,Septum_Vol.mm3_SD,Striatum_Vol.mm3,Striatum_Vol.mm3_SD,SubcorticalForebrain_N.n,SubcorticalForebrain_N.n_SD,Tectum_Vol.mm3,Tectum_Vol.mm3_SD,Tegmentum_Vol.mm3,Tegmentum_Vol.mm3_SD,Thalamus_Vol.mm3,Thalamus_Vol.mm3_SD,WholeBrainOlfactoryBulb_Mass.g,WholeBrainOlfactoryBulb_Mass.g_SD,WholeBrainOlfactoryBulb_N.n,WholeBrainOlfactoryBulb_N.n_SD,OlfactoryBulb_O.p.N_SD,Hippocampus_C.n,Hippocampus_Mass.g,Hippocampus_N.n,Hippocampus_N.p.mg,Hippocampus_O.n,Hippocampus_O.p.N,WholeBrain_O.p.N,CerebralCortexGrey_N.n,CerebralCortexGrey_N.p.mg,CerebralCortexGrey_O.p.N,MesencephalonDiencephalonStriatum_Mass.g,MesencephalonDiencephalonStriatum_N.n,MesencephalonDiencephalonStriatum_N.p.mg,MesencephalonDiencephalonStriatum_O.p.N,PonsMedulla_Mass.g,PonsMedulla_N.n,PonsMedulla_N.p.mg,PonsMedulla_O.p.N,DiencephalonStriatum_Mass.g,DiencephalonStriatum_N.n,DiencephalonStriatum_N.p.mg,DiencephalonStriatum_O.p.N,Mesencephalon_Mass.g,Mesencephalon_N.n,Mesencephalon_N.p.mg,Mesencephalon_O.p.N,PonsMedulla_I.p.C
Papio cynocephalus,8000,8320885000,13.745,7794907300,NA,567109,NA,525977700,NA,0.067,NA,38267,NA,10444780000,120.214,NA,2875028372,NA,23916,NA,7569751628,NA,2.633,NA,62969,NA,1357959996,17.235,NA,278150760,NA,16136,NA,1079809236,NA,3.882,NA,62656,NA,20123625004,151.194,NA,10948086440,NA,9175538564,NA,NA,NA,0.0522522707752449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parascalops breweri,42.7,107790000,0.102,100780000,13850000,997370,173030,7010000,1100000,0.07,NA,68795,7910,55560000,0.429,0.019,15690000,2611000,36727,7359,39870000,4884000,2.581,0.109,93185,14583,38510000,0.228,0.009,7130000,920000,31276,3180,31380000,1500000,4.401,0.375,137960,7180,201860000,0.759,0.024,123600000,12470000,78260000,6095000,NA,NA,NA,NA,0.049,16750000,333590,10910000,0.651,217440,NA,NA,9.1,NA,NA,0.005,0.008,6370000,81590,3400000,41370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Petrodromus tetradactylus,132.5,145311001,0.304,110653150,14948000,362537,15780,34657851,15801000,0.299,0.102,110153,41831,74433000,1.239,0.059,33947000,5840000,27236,3416,40486000,1104000,1.202,0.053,32550,2661,40436000,0.894,0.022,12231811,188000,13696,547,28204189,5408000,2.3,0.407,31716,6830,260179795,2.44,0.109,156830795,20600000,103349000,15610000,0.00880000137635829,0.0483,0.052514167103301,0.0764754533075324,0.159,12828365,80805,14775635,1.141,91369,0.0301133890592541,0.0252317165039588,NA,NA,NA,NA,0.009,380000,3084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pongo pygmaeus,NA,28500000000,35.06,26300000000,2470000000,750143,NA,2200000000,NA,0.084,NA,62750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Procavia capensis,2517,579378000,2.058,488373000,42322000,242415,46950,91005000,30180000,0.182,0.046,46365,19711,564553000,10.478,0.646,197933000,29082000,19134,3955,366620000,13520000,1.883,0.208,35203,3461,232343000,4.317,0.625,69358240,762000,16436,2556,162984760,6105000,2.351,0.114,38353,4138,1376275000,16.853,1.495,755653000,72145000,620622000,37616000,0.0134739168556625,0.0677999991806435,0.0675016136631748,0.0654514595832934,0.286,20909490,73110,14790510,0.707,51715,0.0482031565401153,0.0414474541788523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Procyon lotor,6200,1887500000,3.338,1646180000,NA,493162,NA,241320000,NA,0.147,NA,NA,NA,2204610000,24.491,NA,437940000,NA,18510,NA,1766670000,NA,3.897,NA,NA,NA,440570000,6.357,NA,48570000,NA,7640,NA,392000000,NA,8.071,NA,NA,NA,4548060000,34.186,NA,2148070000,NA,2399990000,NA,NA,NA,NA,NA,0.47,55990000,119119,79760000,1.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85340000,0.477,15340000,16076,70000000,4.564,1.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Proechimys guyannensis,223.485,198885000,0.33,162512050,3553848,494338,28466,36372950,5094068,0.224,0.026,110122,6716,97919063,0.924,0.05,26086024,2155723,28321,3870,71833039,6712722,2.752,0.03,78011,11497,86560937,0.824,0.006,13492039,1533120,16381,1973,73068898,2691449,5.462,NA,88667,2658,383365000,2.078,0.071,202090113,2931245,181274887,4310103,NA,NA,NA,NA,0.132,9141540,69254,21128460,2.311,160064,NA,NA,16.6,NA,NA,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rattus norvegicus,315.1,168177499,0.272,139171882,11185675,522688,108847,29005617,6282204,0.209,0.047,108555,29355,76705000,0.769,0.113,31017192,3034654,41092,7999,45687808,5678958,1.497,0.328,60426,12477,65900001,0.683,0.153,18678758,4243909,27813,6171,47221243,5979982,2.587,NA,71760,18475,310782500,1.724,0.292,188867832,12622383,121914668,7106729,NA,NA,NA,NA,0.074,11103272,152373,9238728,0.848,126210,NA,NA,102.9,NA,NA,0.038,0.022,3202766,26913,2250728,8033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rousettus aegyptiacus,120,NA,219666.672195536,132436158,NA,602896,NA,NA,NA,NA,NA,NA,NA,NA,985394.850957763,NA,28859259,NA,29287,NA,NA,NA,NA,NA,NA,NA,NA,547872.457669572,NA,10936630,NA,19962,NA,NA,NA,NA,NA,NA,NA,NA,1.778,NA,172232047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus midas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027186877681645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saimiri sciureus,859,1953020000,4.3,1820000000,NA,424000,NA,133020000,NA,0.073,NA,30940,NA,2950000000,20.652,0.368,1340000000,20000000,64930,7420,1610000000,40000000,1.201,NA,77840,790,368120000,5.004,NA,65530000,NA,13090,NA,302590000,NA,4.618,NA,60470,NA,5319460000,30.216,NA,3246430000,NA,2073030000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.9,30.216,3246.43,NA,NA,NA,NA,NA,NA,169.48,5.49,1.602,0.078,4.69,1.88,2913,1120,91.24,6.88,56888,1614,0.19,5.03,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sapajus apella,3340,2735810000,4.6,2490000000,NA,540310,NA,245810000,NA,0.099,NA,53440,NA,3690000000,39.178,NA,1140000000,NA,29180,NA,2550000000,NA,2.237,NA,64980,NA,567960000,8.43,NA,61850000,NA,7340,NA,506110000,NA,8.183,NA,60040,NA,6988260000,52.208,NA,3690520000,NA,3297740000,NA,NA,NA,0.0349424582552525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcophilus harrisii,8200,NA,1.434,601070000,NA,419158,NA,NA,NA,0.224,NA,NA,NA,NA,5.228,NA,71660000,NA,13706,NA,NA,NA,5.112,NA,NA,NA,NA,3.14,NA,20970000,NA,6677,NA,NA,NA,12.2,NA,NA,NA,NA,9.802,NA,693690000,NA,NA,NA,0.0105000003399337,0.0197000008153481,0.0218000004566825,0.0325,1.004,100320000,99919,NA,1.004,NA,0.0202000018066684,0.0158000001379186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.634,12640000,19940,NA,4.537,1.09,50950000,14759,3.727,2,14410000,7203,11.948,1.14,6560000,5754,12.755,1.348,6180000,4587,18.96,0.652,8220000,12613,6.675,NA
Scalopus aquaticus,95.3,176060000,0.153,158550000,13630000,1037390,63570,17510000,3160000,0.11,NA,114660,20790,65220000,0.476,0.032,26680000,5113000,60461,12249,38540000,5567000,1.383,0.368,80745,6407,62250000,0.37,0.042,16560000,2990000,44620,4900,45690000,4820000,2.759,0.379,123600,2550,305260000,0.999,0.08,203520000,14587000,101740000,11823000,NA,NA,NA,NA,0.082,34610000,423520,17780000,0.514,215230,NA,NA,9.8,NA,NA,0.008,0.005,5960000,94950,2060000,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sciurus carolinensis,500,453630000,0.874,342832180,71181798,392363,74294,110797820,9070639,0.336,0.09,127682,19212,286989334,2.73,0.178,77334617,2634444,28384,1487,209654717,13003170,2.709,0.076,76877,3859,243517334,1.943,0.156,33493401,17128790,17616,9989,210023933,3415060,7.246,NA,108482,7808,984136666,5.548,0.306,453660197,59752698,530476469,5605837,NA,NA,NA,NA,0.212,28845724,137532,39015942,1.478,185359,NA,NA,NA,NA,NA,0.069,0.022,7903412,38236,12812316,58050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotonycteris zenkeri,16.1,NA,86000.0091067051,47217961,NA,549046,NA,NA,NA,NA,NA,NA,NA,NA,323996.746696257,NA,12847119,NA,39652,NA,NA,NA,NA,NA,NA,NA,NA,177998.873402646,NA,5529891,NA,31067,NA,NA,NA,NA,NA,NA,NA,NA,0.588,NA,65594971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorex fumeus,7.8,26160000,0.02,20870000,4660000,1038666,214440,5290000,2120000,0.253,NA,258073,85510,19020000,0.084,0.009,9730000,352000,116727,9387,9290000,1112000,0.958,0.135,111754,18566,13840000,0.072,0.01,5560000,1490000,75941,11870,8280000,1440000,1.489,0.294,114880,17860,59320000,0.176,0.007,36460000,4567000,22860000,3956000,NA,NA,NA,NA,0.012,3330000,289806,2760000,0.829,235249,NA,NA,0.1,NA,NA,0.002,0.002,1050000,124350,130000,44620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sus scrofa domesticus,100000,2207031251,8.128,1858320313,NA,228632,NA,348710938,NA,0.188,NA,42902,NA,3557333758,42.404,NA,307082404,NA,7276,NA,3250251354,NA,10.585,NA,77016,NA,1155531250,13.85,NA,58709836,NA,4238,NA,1096821414,NA,18.682,NA,79192,NA,6919896258,64.18,NA,2224112553,NA,4695783705,NA,0.0388000002265487,0.108993125762452,0.111664496079779,0.151351466044673,0.822,9195500,11187,77554500,8.434,94348,0.112437137463829,0.0875586778755316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tragelaphus strepsiceros,218000,5308593750,31.776,4042494141,NA,127218,NA,1266099609,NA,0.313,NA,39845,NA,13064871626,213.37,NA,762567178,NA,3574,NA,12302304448,NA,16.133,NA,57657,NA,3515369753,61.716,NA,106590230,NA,1727,NA,3408779523,NA,31.98,NA,55233,NA,21888835129,306.86,NA,4911651549,NA,16977183580,NA,NA,NA,NA,NA,5.546,38331562,6912,362731438,8.523,58913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triaenops persicus,13.7,NA,72659.9416786038,59651487,NA,820968,NA,NA,NA,NA,NA,NA,NA,NA,93249.0079518258,NA,6039272,NA,64765,NA,NA,NA,NA,NA,NA,NA,NA,84870.3653529522,NA,4072165,NA,47981,NA,NA,NA,NA,NA,NA,NA,NA,0.251,NA,69762924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tupaia glis,172.5,205260000,0.326,185280000,16980000,571460,83200,19980000,1510000,0.108,NA,61600,7990,145970000,1.455,0.174,60390000,26510000,42900,23350,85580000,8400000,1.417,NA,58900,1270,109560000,0.919,0.072,22480000,NA,25900,NA,87080000,NA,3.874,NA,100320,NA,461050000,2.752,0.011,261400000,NA,199650000,NA,NA,NA,NA,NA,0.1,12700000,130173,20068000,1.58,205876,NA,NA,3.5,2.752,261.4,0.018,0.032,3584952,17451,6541838,51596,102.92,3.7,0.607,0.082,2.69,0.71,4529,1597,41.96,4.17,69891,8247,0.35,18.07,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ursus arctos,350000,11550000000,45.106,9253250000,NA,205145,NA,2296750000,NA,0.248,NA,NA,NA,10404970000,222,NA,250970000,NA,1130,NA,10154000000,NA,40.459,NA,NA,NA,2743820000,47.898,NA,81380000,NA,1699,NA,2662440000,NA,32.714,NA,NA,NA,24698790000,315.004,NA,9585600000,NA,15113190000,NA,0.0163,0.0823000000246374,0.0811000001681889,0.0342,NA,NA,NA,NA,NA,NA,0.036,0.0458000000202439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257770000,4.13,8610000,2085,249160000,28.941,1.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wallabia bicolor,12066,NA,4.42,1200000000,NA,270575,NA,NA,NA,0.293,NA,NA,NA,NA,15.182,NA,208110000,NA,13708,NA,NA,NA,4.955,NA,NA,NA,NA,10.41,NA,31860000,NA,3061,NA,NA,NA,20.583,NA,NA,NA,NA,30.012,NA,1440000000,NA,NA,NA,0.0171,0.0791000002464258,0.0768000001613873,0.0559,NA,NA,NA,NA,NA,NA,0.0795,0.0509000000651088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.566,12970000,8283,NA,8.506,1.407,170420000,17322,3.319,6.396,21350000,3339,20.459,4.014,10510000,2619,20.834,NA,NA,NA,NA,NA,NA,NA,NA,NA
